HomeTeam,AwayTeam,MeanGoalsHome,MeanShotsOnTargetHome,MeanGoalsAway,MeanShotsOnTargetAway,HomeTeam_FTR_Mode,AwayTeam_FTR_Mode,HomeTeamWinStreak,AwayTeamWinStreak,HomeTeamLossStreak,AwayTeamLossStreak
Eupen,Oostende,1.2657342657342658,4.168141592920354,0.9939024390243902,4.073684210526316,"('Eupen', 'A')","('Oostende', 'H')",2,3,5,13
Mouscron,Cercle Brugge,1.669811320754717,4.193548387096774,0.986013986013986,3.9320388349514563,"('Mouscron', 'H')","('Cercle Brugge', 'H')",9,3,4,14
Waasland-Beveren,Charleroi,1.1470588235294117,4.950819672131147,1.1497175141242937,4.461538461538462,"('Waasland-Beveren', 'A')","('Charleroi', 'H')",3,4,4,9
Anderlecht,Kortrijk,2.3002680965147455,5.508474576271187,1.0317460317460319,3.8448275862068964,"('Anderlecht', 'H')","('Kortrijk', 'H')",17,3,3,7
Waregem,Standard,1.6418439716312057,4.568421052631579,1.4112903225806452,4.1525423728813555,"('Waregem', 'H')","('Standard', 'A')",9,6,5,5
Genk,Beerschot VA,1.946236559139785,5.823529411764706,1.2162162162162162,3.8055555555555554,"('Genk', 'H')","('Beerschot VA', 'H')",8,4,5,13
Antwerp,St Truiden,1.6761363636363635,5.194915254237288,1.0224358974358974,3.73109243697479,"('Antwerp', 'H')","('St Truiden', 'H')",8,3,4,11
Club Brugge,Oud-Heverlee Leuven,2.306451612903226,6.5210084033613445,1.1940298507462686,4.324324324324325,"('Club Brugge', 'H')","('Oud-Heverlee Leuven', 'H')",21,2,2,9
Charleroi,Genk,1.3746478873239436,4.939130434782609,1.5148247978436657,4.9576271186440675,"('Charleroi', 'H')","('Genk', 'H')",9,7,4,8
Cercle Brugge,Waasland-Beveren,1.408450704225352,4.872549019607843,1.094890510948905,3.774193548387097,"('Cercle Brugge', 'H')","('Waasland-Beveren', 'H')",6,3,9,5
Oostende,Mechelen,1.5,4.864583333333333,1.1464285714285714,4.108910891089109,"('Oostende', 'A')","('Mechelen', 'H')",5,5,6,6
Kortrijk,Waregem,1.466403162055336,4.7094017094017095,1.2826855123674912,4.145833333333333,"('Kortrijk', 'H')","('Waregem', 'H')",5,6,7,6
Standard,Anderlecht,1.814516129032258,5.102564102564102,1.628032345013477,4.3418803418803416,"('Standard', 'H')","('Anderlecht', 'A')",12,12,4,5
Beerschot VA,Mouscron,1.4054054054054055,4.305555555555555,1.1132075471698113,3.819672131147541,"('Beerschot VA', 'A')","('Mouscron', 'H')",5,2,6,10
St Truiden,Eupen,1.3624595469255663,4.38135593220339,0.9652777777777778,3.5350877192982457,"('St Truiden', 'H')","('Eupen', 'H')",5,4,4,7
Oud-Heverlee Leuven,Antwerp,1.544776119402985,4.712328767123288,1.1875,4.319327731092437,"('Oud-Heverlee Leuven', 'H')","('Antwerp', 'H')",4,6,3,7
Charleroi,St Truiden,1.3746478873239436,4.939130434782609,1.0224358974358974,3.73109243697479,"('Charleroi', 'H')","('St Truiden', 'H')",9,3,4,11
Eupen,Oud-Heverlee Leuven,1.2657342657342658,4.168141592920354,1.1940298507462686,4.324324324324325,"('Eupen', 'A')","('Oud-Heverlee Leuven', 'H')",2,2,5,9
Waasland-Beveren,Beerschot VA,1.1470588235294117,4.950819672131147,1.2162162162162162,3.8055555555555554,"('Waasland-Beveren', 'A')","('Beerschot VA', 'H')",3,4,4,13
